Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,FEMALE,FORTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,NORTHEAST,NEITHER,OPPOSE,-2,3,Retail Control Group,-3,4,3,X,X,X,X,X,X,MID,HIGH
WHITE,MALE,TWENTIES,HS_GED,REP,YES,CON,25k - 50k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,0,2,Race Neutral Control Group,-1,3,2,Y,Y,N,X,X,X,MID,MID
BLACK,FEMALE,THIRTIES,SOME_COLL,IND,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,S_OPPOSE,6,4,Linked Fate Treatment Group,2,4,3,Y,N,N,N,Y,N,MID,LOW
MIXED,FEMALE,TWENTIES,BACH,REP,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,-1,1,Racial Resentment Treatment Group,-1,2,2,Y,Y,N,Y,N,N,MID,HIGH
WHITE,MALE,TWENTIES,SOME_COLL,REP,YES,MOD,0 - 24k,NO,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,4,5,Retail Control Group,-3,2,0,X,X,X,X,X,X,MID,MID
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,SUPPORT,S_OPPOSE,0,6,Racial Resentment Treatment Group,0,4,2,Y,N,N,N,N,N,HIGH,MID
MIXED,MALE,TWENTIES,HS_GED,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,OPPOSE,NEITHER,4,6,Linked Fate Treatment Group,0,4,3,Y,N,N,N,N,N,HIGH,MID
ASIAN,MALE,TWENTIES,HS_GED,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,5,6,Race Neutral Control Group,-2,4,3,Y,N,N,X,X,X,HIGH,MID
MIXED,FEMALE,TWENTIES,SOME_COLL,IND,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,OPPOSE,-1,6,Retail Control Group,3,4,3,X,X,X,X,X,X,HIGH,HIGH
WHITE,FEMALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,NEITHER,0,6,Linked Fate Treatment Group,-1,4,2,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,OPPOSE,OPPOSE,-1,3,Retail Control Group,0,4,0,X,X,X,X,X,X,MID,HIGH
WHITE,MALE,TWENTIES,ASSOC,REP,NO,CON,25k - 50k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,0,1,Linked Fate Treatment Group,-3,2,3,Y,Y,Y,Y,N,Y,MID,MID
MIXED,FEMALE,FORTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,YES,MIDWEST,SUPPORT,NEITHER,5,7,Race Neutral Control Group,0,3,3,Y,Y,N,X,X,X,HIGH,MID
WHITE,FEMALE,TWENTIES,HS_GED,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,S_OPPOSE,S_OPPOSE,0,4,Racial Resentment Treatment Group,-1,4,3,X,N,N,N,Y,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,5,7,Linked Fate Treatment Group,2,4,3,Y,Y,N,N,Y,N,HIGH,MID
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,-2,-1,Race Neutral Control Group,-1,1,3,X,N,N,X,X,X,LOW,HIGH
WHITE,FEMALE,SIXTIES,HS_GED,IND,NO,MOD,25k - 50k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,2,-1,Retail Control Group,-3,3,2,X,X,X,X,X,X,LOW,MID
WHITE,FEMALE,X,ASSOC,IND,YES,CON,25k - 50k,NO,X,NO,MIDWEST,NEITHER,NEITHER,1,0,Racial Resentment Treatment Group,-3,-1,-3,Y,Y,N,Y,N,Y,MID,MID
WHITE,MALE,TWENTIES,BACH,IND,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,NEITHER,OPPOSE,-1,6,Racial Resentment Treatment Group,-2,3,2,Y,N,N,N,N,N,HIGH,HIGH
WHITE,FEMALE,TEENS,SOME_COLL,DEM,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,SUPPORT,5,5,Race Neutral Control Group,0,2,2,N,N,N,X,X,X,MID,MID
WHITE,OTHER,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,YES,X,NO,NORTHWEST,SUPPORT,OPPOSE,4,6,Race Neutral Control Group,3,3,2,X,N,N,X,X,X,HIGH,MID
HISP_LAT,MALE,THIRTIES,ASSOC,IND,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,SUPPORT,OPPOSE,4,4,Retail Control Group,3,2,3,X,X,X,X,X,X,MID,MID
MIXED,FEMALE,THIRTIES,ASSOC,IND,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,OPPOSE,OPPOSE,6,7,Retail Control Group,3,4,2,X,X,X,X,X,X,HIGH,LOW
WHITE,OTHER,FIFTIES,BACH,IND,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,2,5,Linked Fate Treatment Group,-1,3,2,Y,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,SIXTIES,SOME_COLL,DEM,NO,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,3,4,Racial Resentment Treatment Group,-2,3,3,Y,Y,Y,Y,N,N,MID,MID
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,S_SUPPORT,S_SUPPORT,0,-2,Racial Resentment Treatment Group,-3,1,-3,Y,Y,N,Y,N,N,LOW,MID
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,S_SUPPORT,S_OPPOSE,3,6,Race Neutral Control Group,1,4,0,X,N,N,X,X,X,HIGH,MID
MIXED,FEMALE,TWENTIES,MAST,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,SUPPORT,OPPOSE,6,4,Race Neutral Control Group,3,3,2,X,N,N,X,X,X,MID,LOW
WHITE,FEMALE,FIFTIES,ASSOC,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,3,6,Linked Fate Treatment Group,1,4,3,N,N,N,Y,Y,N,HIGH,MID
WHITE,FEMALE,THIRTIES,HS_GED,REP,YES,CON,0 - 24k,NO,X,NO,NORTHWEST,SUPPORT,SUPPORT,0,3,Linked Fate Treatment Group,2,0,-3,N,N,N,N,Y,Y,MID,MID
WHITE,MALE,TWENTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,-2,Retail Control Group,1,-2,-2,X,X,X,X,X,X,LOW,MID
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,6,5,Race Neutral Control Group,1,0,2,X,X,N,X,X,X,MID,LOW
HISP_LAT,FEMALE,TWENTIES,SOME_COLL,IND,YES,MOD,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,6,7,Retail Control Group,1,3,3,X,X,X,X,X,X,HIGH,LOW
