StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q114,Q114_1_TEXT,Q1,Q2,Q15,Q85,Q17,Q18,Q120,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q115,Q50,Q51,Q52,Q53,Q68,Q69,Q70,Q70_3_TEXT,Q71,Q34,Q93,Q37,Q95,Q87,Q92,Q40,Q40_3_TEXT,Q41,Q41_3_TEXT,Q111,Q42,Q42_3_TEXT,Q43,Q44,Q94,Q47,Q97,Q98,Q99,Q54,Q54_3_TEXT,Q55,Q55_3_TEXT,Q112,Q56,Q56_3_TEXT,Q57,Q57_3_TEXT,Q58,Q58_3_TEXT,Q59,Q59_3_TEXT,Q60,Q61,Q104,Q64,Q106,Q102,Q103,Q72,Q73,Q113,Q74,Q75,Q76,Q77,Q78,Q109,Q110,Q82,Q82_3_TEXT,Q101,Q107,Q108,Treatment Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"The Politics of Pre-Professional Play: an Analysis of Racial Attitudes and NCAA Amateurism K. Jared Young Princeton Political Science  Key information about the study: Your informed consent is being sought for research. Participation in the research is voluntary. The purpose of the research is to measure how much of an effect racial attitudes has on differing opinions about the right of NCAA athletes to payment, protest, and pandemic safety. The rationale behind my study is to understand how racial attitudes influence conceptions of college athlete payment, the right of college athletes to protest, and the requirement that college athletes play sports in the midst of a global pandemic, in order to more clearly and effectively illustrate exactly how racial attitudes play a role in political beliefs. This study will benefit society by providing a statistically significant look into the true nature of America's ""post-racial"" politics within the American electorate.   The expected duration of the subject's participation is 15 minutes. The procedures that the subject will be asked to follow in the research: Upon signing this consent form, you may be randomized into a control group, which mandates that you complete a short survey gauging your opinions on the rights of college athletes to payment, protest, and pandemic safety. Alternatively, you may be placed into a treatment group- in which you will read an article about a college athlete or retail shopping changes during the COVID-19 era , answer short questions about your racial attitudes, and then be prompted with a short survey gauging your opinions on the rights of college athletes to payment, protest, and pandemic safety. The reasonably foreseeable risks or discomforts to the subject as a result of participation: You may be made uncomfortable by the statements gauging your racial attitudes and you may have to disclose personal opinions of yours that may not be supported by the majority of the American public. Please note that all of your responses are entirely confidential. The benefits to the subject or to others, e.g., society that may reasonably be expected from the research: This study will benefit society by providing a statistically significant look into the true nature of America's ""post-racial"" politics within the American electorate.  Additional information about the study: Confidentiality:All responses gathered in this study will be kept completely confidential, protected by multi-factor authenticated data protection services and encrypted passcodes. All of your contact, name, and identifying information, beyond general identifying characteristics (e.g., race and education level), will remain entirely anonymous- as it will be impossible to link responses back to your specific personal information.  . Your responses will be kept private, and we will not include any information that will make it possible to identify you in any report we might publish. Research records will be stored securely in a locked cabinet and/or on password-protected computers. The research team will be the only party that will have access to your data.  Compensation:Survey completion may result in a compensation of $.25 Who to contact with questions: Principal Investigator: Jared Young- kjyoung@princeton.edu Thesis Adviser: Ismail White- iwhite@princeton.edu                                   If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at: Assistant Director, Research Integrity and AssurancePhone: (609) 258-8543Email: irb@princeton.edu Summary:I understand the information that was presented and that: My participation is voluntary. Refusal to participate will involve no penalty or loss of benefits to which I am otherwise entitled. I may discontinue participation at any time without penalty or loss of benefits. I do not waive any legal rights or release Princeton University or its agents from liability for negligence. I hereby give my consent to be the subject of the research.",What is your unique Prolific ID - Selected Choice,What is your unique Prolific ID - Insert Below - Text,"Demographic Questions
What is your Race and Ethnicity (Select all that apply)?",What is your Gender?,How old are you?,What is the highest level of school you have completed or the highest degree you have received?,"Did you attend a ""Power Five"" (Big XII, Southeastern Conference, Atlantic Coast Conference, Big Ten, Pacific Twelve Conference) University in your undergraduate college education?",What your political party identification?,Are you a registered voter?,What is your political ideology?,Indicate your yearly household income level.,Are you a member of a worker's union?,Were/are you a College Athlete?,What college sport did you participate in?,"Was/is anyone related to you a college athlete or was/is any of your close friends a Power 5 (Big XII, Southeastern Conference, Atlantic Coast Conference, Big Ten, Pacific Twelve Conference) football or basketball college athlete?",What region of America are you from?,Indicate your level of support for National Collegiate Athletic Association (NCAA) D1 Football and Basketball Athletes,Indicate your level of support for NCAA Administrators,"Understanding Racial Attitudes
Indicate your level of support with the statement:
It is really a matter of some people not trying hard enough; if blacks would only try harder, they could be as well-off as whites�?","Indicate your level of support with this statement:
""Generations of slavery and discrimination have created conditions that make it difficult for blacks to work their way out of the lower class.""",Rate the extent to which Black Americans are lazy rather than hard working:,Rate the extent to which blacks are unintelligent rather than intelligent:,Do you think that what happens generally to the black people in this country will have something to do with what happens in your life?,"On the whole, would you say that the economic position of blacks is better, about the same, or worse than that of whites?",Do you agree with the statement �The American political system is set up to see Black Americans fail�? - Selected Choice,Do you agree with the statement �The American political system is set up to see Black Americans fail�? - Explain your opinion here. - Text,"In comparison to your own financial interests, how important are issues of race in your decision of who you support politically?","Payment, Protest, Pandemic Safety Questions
Do you think that college athletes should receive a salary in addition to their scholarship?","Do you agree or disagree with the following statement:
If college basketball and college football players were exclusively white, they would be paid.","Some people believe that college athletes should fully compete in games during the Coronavirus pandemic. Others believe that safety should come first, and it would be more wise to postpone college athletics until a cure to the virus is found.

Do you agree or disagree that college athletes should fully compete in games during the Coronavirus pandemic?","Do you agree or disagree with the following statement:
College athletes should have the right to protest against social injustice and utilize their platform to give voice to movements for political change.","Do you agree or disagree with the following statement:
College athletes should let their coaches speak for them, and focus on being student-athletes.","Do you agree or disagree with the following statement:
Safety should come first, and it would be more wise to postpone college athletics until a cure to the coronavirus is found","Post Article Questions The NCAA prohibits athletes from taking money, do you think that Jake Thomas violated NCAA rules? - Selected Choice","Post Article Questions The NCAA prohibits athletes from taking money, do you think that Jake Thomas violated NCAA rules? - Explain your opinion. - Text",Do you think it is fair for Jake Thomas to be suspended for the entire season? - Selected Choice,Do you think it is fair for Jake Thomas to be suspended for the entire season? - Explain your opinion - Text,Have you previously heard of Jake Thomas and his controversial status as football player at the University of Tennessee ?,Do you think that Jake Thomas should suffer a hit to his professional draft stock as a result of this instance? - Selected Choice,Do you think that Jake Thomas should suffer a hit to his professional draft stock as a result of this instance? - Explain your opinion - Text,Do you have any additional comments?,"Payment, Protest, Pandemic Safety Questions
Do you think that college athletes should receive a salary in addition to their scholarship?","Do you agree or disagree with the following statement:
""If college basketball and college football players were exclusively white, they would be paid.""","Some people believe that college athletes should fully compete in games during the Coronavirus pandemic. Others believe that safety should come first, and it would be more wise to postpone college athletics until a cure to the virus is found.

Do you agree or disagree that college athletes should fully compete in games during the Coronavirus pandemic?","Do you agree or disagree with the following statement:

College athletes should have the right to protest against social injustice and utilize their platform to give voice to movements for political change.","Do you agree or disagree with the following statement:
College athletes should let their coaches speak for them, and focus on being student-athletes.","Do you agree or disagree with the following statement:
Safety should come first, and it would be more wise to postpone college athletics until a cure to the coronavirus is found","Post Article Questions
The NCAA prohibits athletes from taking money, do you think that Jake Thomas violated NCAA rules? - Selected Choice","Post Article Questions
The NCAA prohibits athletes from taking money, do you think that Jake Thomas violated NCAA rules? - Explain your opinion - Text",Do you think it is fair for Jake Thomas to be suspended for the entire season? - Selected Choice,Do you think it is fair for Jake Thomas to be suspended for the entire season? - Explain your opinion - Text,Have you previously heard of Jake Thomas and his controversial status as football player at the University of Tennessee ?,Do you think that Jake Thomas should suffer a hit to his professional draft stock as a result of this instance? - Selected Choice,Do you think that Jake Thomas should suffer a hit to his professional draft stock as a result of this instance? - Explain your opinion - Text,"Even if Jake Thomas took compensation, do you think that he was wrong for doing so? - Selected Choice","Even if Jake Thomas took compensation, do you think that he was wrong for doing so? - Explain your opinion - Text",Do you think that Jake Thomas is being unfairly punished by the NCAA because of his ability and public image centered around his social consciousness? - Selected Choice,Do you think that Jake Thomas is being unfairly punished by the NCAA because of his ability and public image centered around his social consciousness? - Explain your opinion - Text,Do you think that Jake Thomas should have been less vocal about social injustice and the continuation of college athletics during the coronavirus pandemic? - Selected Choice,Do you think that Jake Thomas should have been less vocal about social injustice and the continuation of college athletics during the coronavirus pandemic? - Explain your opinion - Text,Do you have any additional comments?,"Payment, Protest, Pandemic Safety Questions
Do you think that college athletes, like the one pictured in this article, should receive a salary in addition to their scholarship?","Do you agree or disagree with the following statement:
If college basketball and college football players were exclusively white, they would be paid.","Some people believe that college athletes, like the one pictured in this article, should fully compete in games during the Coronavirus pandemic. Others believe that safety should come first, and it would be more wise to postpone college athletics until a cure to the virus is found.

Do you agree or disagree that college athletes, like the one pictured in this article, should fully compete in games during the Coronavirus pandemic?","Do you agree or disagree with the following statement:
College athletes, like the one pictured in this article, should have the right to protest against social injustice and utilize their platform to give voice to movements for political change.","Do you agree or disagree with the following statement:

College athletes, like the one pictured in this article, should let their coaches speak for them, and focus on being student-athletes.","Do you agree or disagree with the following statement:
Safety should come first, and it would be more wise to postpone college athletics until a cure to the coronavirus is found","Post Article Questions
The NCAA prohibits athletes from taking money, do you think that Jake Thomas violated NCAA rules?",Do you think it is fair for Jake Thomas to be suspended for the entire season?,Have you previously heard of Jake Thomas and his controversial status as football player at the University of Tennessee ?,Do you think that Jake Thomas should suffer a hit to his professional draft stock as a result of this instance?,"Even if Jake Thomas took compensation, do you think that he was wrong for doing so?",Do you think that Jake Thomas is being unfairly punished by the NCAA because of his ability and public image centered around his social consciousness?,Do you think that Jake Thomas should have been less vocal about social injustice and the continuation of college athletics during the coronavirus pandemic?,Do you have any additional comments?,"Payment, Protest, Pandemic Safety Questions
Do you think that college athletes, like the one pictured in this article, should receive a salary in addition to their scholarship?","Do you agree or disagree with the following statement:
 If college basketball and college football players were exclusively white, they would be paid.","Some people believe that college athletes, like the one pictured in this article, should fully compete in games during the Coronavirus pandemic. Others believe that safety should come first, and it would be more wise to postpone college athletics until a cure to the virus is found.

Do you agree or disagree that college athletes should fully compete in games during the Coronavirus pandemic? - Selected Choice","Some people believe that college athletes, like the one pictured in this article, should fully compete in games during the Coronavirus pandemic. Others believe that safety should come first, and it would be more wise to postpone college athletics until a cure to the virus is found.

Do you agree or disagree that college athletes should fully compete in games during the Coronavirus pandemic? - Explain your opinion. - Text","Do you agree or disagree with the following statement:
College athletes, like the one pictured in this article, should have the right to protest against social injustice and utilize their platform to give voice to movements for political change.","Do you agree or disagree with the following statement:

College athletes, like the one pictured in this article, should let their coaches speak for them, and focus on being student-athletes.","Do you agree or disagree with the following statement:
Safety should come first, and it would be more wise to postpone college athletics until a cure to the coronavirus is found",Treatment Group
3/10/21 21:37,3/10/21 21:44,IP Address,*******,100,417,True,3/10/21 21:44,R_2YzGEXoLa1t0M3p,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5da947c15854ba0011d3a88b,White,Female,40,Bachelor's Degree,,Democrat,Yes,Liberal,0k-24k,No,,,No,Northeast,Neither Support Nor Oppose,Somewhat Oppose,Strongly disagree,Neither agree nor disagree,Neutral,Neutral,Yes,Same,Yes,,Slightly important,Disagree,Completely Disagree,Disagree,Completely Agree,Completely Disagree,Completely Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Control Group
3/10/21 21:36,3/10/21 21:46,IP Address,*******,100,566,True,3/10/21 21:46,R_qFqyUvNAIVuM10J,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5c800507a1d4b900114f28c4,White,Male,29,High School Degree or GED,,Republican,Yes,Conservative,25k-50k,No,,,No,West Coast,Somewhat Support,Neither Support Nor Oppose,Somewhat disagree,Somewhat disagree,Moderately Hardworking,Neutral,Yes,Worse,Explain your opinion here.,You are who you choose to be and unfortunately due to the racial discrimination I would say African Americans have been pushed into a corner they are trying to get out of.,Not at all important,,,,,,,Yes,,Yes,,No,Yes,,No,Agree,Completely Disagree,Disagree,Completely Agree,Moderately Disagree,Moderately Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race Neutral Control Group
3/10/21 21:43,3/10/21 21:48,IP Address,*******,100,303,True,3/10/21 21:48,R_RJ4gIFc4GmuwP8l,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,604656a123c25b105f280f4d,Black or African-American,Female,36,"Some College, No Diploma",,Independent,Yes,Liberal,0k-24k,No,,,No,Southwest,Neither Support Nor Oppose,Strongly Oppose,Strongly disagree,Strongly agree,Extremely Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Slightly important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,,Agree,Moderately Agree,Disagree,,Completely Agree,Completely Disagree,Completely Agree,Linked Fate Treatment Group
3/10/21 21:41,3/10/21 21:48,IP Address,*******,100,434,True,3/10/21 21:48,R_3lrHVNcju525Pgu,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5e6813181f62c8000dd82fc7,"White,Hispanic/Latinx",Female,28,Bachelor's Degree,,Republican,Yes,Moderate,51k-100k,No,,,No,Southwest,Neither Support Nor Oppose,Neither Support Nor Oppose,Neither agree nor disagree,Somewhat disagree,Neutral,Neutral,Yes,Same,No,,Slightly important,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,No,No,,Yes,,No,,No,,,Disagree,Neither Agree Nor Disagree,Disagree,Completely Agree,Neither Agree Nor Disagree,Moderately Agree,,,,,,,,,,,,,,,,Racial Resentment Treatment Group
3/10/21 21:48,3/10/21 21:58,IP Address,*******,100,561,True,3/10/21 21:58,R_2ZIZjbX3ZebuE5g,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,920156358,White,Male,22,"Some College, No Diploma",,Republican,Yes,Moderate,0k-24k,No,,,Yes,Northeast,Strongly Support,Somewhat Support,Strongly disagree,Strongly agree,Moderately Hardworking,Moderately Intelligent,Yes,Worse,Explain your opinion here.,A better statement might be- the american political system has developed such that black americans are disadvantaged thus predisposed to failure.,Very important,Disagree,Completely Disagree,Agree,Moderately Agree,Moderately Disagree,Moderately Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Control Group
3/10/21 21:52,3/10/21 22:00,IP Address,*******,100,461,True,3/10/21 22:00,R_2SpZJAVk9eH0g0C,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,charlesakirk@gmail.com,White,Male,33,Bachelor's Degree,,Democrat,Yes,Liberal,25k-50k,No,,,No,Southeast,Somewhat Support,Strongly Oppose,Strongly disagree,Strongly agree,Neutral,Neutral,Yes,Worse,Yes,,Very important,,,,,,,,,,,,,,,,,,,,,Yes,,"No,Explain your opinion","Athletes bring in so much money to their schools, they deserve to profit as well.",No,No,,No,,No,,No,,,Agree,Moderately Disagree,Disagree,Completely Agree,Completely Disagree,Moderately Agree,,,,,,,,,,,,,,,,Racial Resentment Treatment Group
3/10/21 21:58,3/10/21 22:04,IP Address,*******,100,332,True,3/10/21 22:04,R_1FFbgnmrG3wp2lI,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5ed856ab1f4a23368be98b1a,"White,Hispanic/Latinx",Male,20,High School Degree or GED,,Democrat,Yes,Liberal,51k-100k,No,,,No,Southeast,Somewhat Oppose,Neither Support Nor Oppose,Strongly disagree,Strongly agree,Moderately Hardworking,Moderately Intelligent,Yes,Worse,Yes,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,,Disagree,Moderately Agree,Disagree,,Completely Agree,Completely Disagree,Completely Agree,Linked Fate Treatment Group
3/10/21 22:00,3/10/21 22:05,IP Address,*******,100,308,True,3/10/21 22:05,R_oZ5RuZPmkVEf0Dn,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5cef6401cd01760016535b53,Asian or Asian American,Male,20,High School Degree or GED,,Democrat,Yes,Liberal,0k-24k,No,,,No,West Coast,Neither Support Nor Oppose,Neither Support Nor Oppose,Somewhat disagree,Strongly agree,Moderately Hardworking,Moderately Intelligent,Yes,Worse,Yes,,Very important,,,,,,,Yes,,No,,No,No,,,Disagree,Moderately Disagree,Disagree,Completely Agree,Completely Disagree,Completely Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race Neutral Control Group
3/10/21 22:20,3/10/21 22:24,IP Address,*******,100,230,True,3/10/21 22:24,R_3qaLzYpCaKb13n4,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,6047f80cc61dc41192a71f60,"White,Asian or Asian American,Native Hawaiian or Pacific Islander",Female,22,"Some College, No Diploma",,Independent,Yes,Liberal,25k-50k,No,,,No,Southeast,Neither Support Nor Oppose,Somewhat Oppose,Somewhat disagree,Somewhat agree,Neutral,Marginally Unintelligent,Yes,Worse,Yes,,Very important,Agree,Completely Agree,Disagree,Completely Agree,Completely Disagree,Completely Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Control Group
